Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
ASK10	YGR097W	IME2	YJL106W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ASK10	YGR097W	KIN2	YLR096W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ASK10	YGR097W	MCK1	YNL307C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ASK10	YGR097W	RIO2	YNL207W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATG1	YGL180W	ATG11	YPR049C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATG1	YGL180W	ATG13	YPR185W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATG1	YGL180W	ATG17	YLR423C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATG19	YOL082W	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATG19	YOL082W	RAD53	YPL153C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATG31	YDR022C	ATG1	YGL180W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATG34	YOL083W	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATG9	YDL149W	CKA2	YOR061W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATP3	YBR039W	ISR1	YPR106W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATP3	YBR039W	MOB1	YIL106W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
ATP3	YBR039W	PHO5	YBR093C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
AVO2	YMR068W	RIO2	YNL207W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	AEP1	YMR064W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	CBP1	YJL209W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	CKA2	YOR061W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	DRS1	YLL008W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	FPR3	YML074C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	HAS1	YMR290C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	MKK1	YOR231W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	MRM1	YOR201C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	NOG1	YPL093W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	NOP12	YOL041C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	NOP13	YNL175C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	NOP2	YNL061W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	NOP4	YPL043W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	PET127	YOR017W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	PET309	YLR067C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	PWP1	YLR196W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	RRP12	YPL012W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	RRP5	YMR229C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	RRS1	YOR294W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	STT4	YLR305C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK1	YJL095W	MKK2	YPL140C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK2	YER167W	KEL1	YHR158C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK2	YER167W	KEL2	YGR238C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK2	YER167W	BMH1	YER177W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK2	YER167W	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK2	YER167W	KIN1	YDR122W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK2	YER167W	KIN2	YLR096W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK2	YER167W	KSS1	YGR040W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK2	YER167W	KSS1	YGR040W	Affinity Capture-Western	manually curated	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK2	YER167W	KIN2	YLR096W	Affinity Capture-Western	manually curated	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCK2	YER167W	KEL1	YHR158C	Affinity Capture-Western	manually curated	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCY1	YIL033C	TPK1	YJL164C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCY1	YIL033C	TPK2	YPL203W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BCY1	YIL033C	TPK3	YKL166C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BEM1	YBR200W	MPS1	YDL028C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BEM2	YER155C	CKA2	YOR061W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BEM2	YER155C	CKB1	YGL019W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BEM2	YER155C	RIO2	YNL207W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BEM2	YER155C	SAP185	YJL098W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BEM2	YER155C	SDP1	YIL113W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BEM2	YER155C	SSN3	YPL042C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BEM2	YER155C	TWF1	YGR080W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BEM2	YER155C	RTK1	YDL025C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BFR1	YOR198C	ISR1	YPR106W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BFR1	YOR198C	SSN3	YPL042C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BFR2	YDR299W	PKH3	YDR466W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BFR2	YDR299W	RIO2	YNL207W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BFR2	YDR299W	SGV1	YPR161C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BFR2	YDR299W	SSN3	YPL042C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BIR1	YJR089W	IPL1	YPL209C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	ADR1	YDR216W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	ASK10	YGR097W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	AIM21	YIR003W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	CDC14	YFR028C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	CDC25	YLR310C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	CSR2	YPR030W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	CYK3	YDL117W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	HAA1	YPR008W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	NET1	YJL076W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	PUF3	YLL013C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	REG1	YDR028C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	TGL1	YKL140W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	RGC1	YPR115W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	KKQ8	YKL168C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BMH1	YER177W	NNK1	YKL171W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BNI5	YNL166C	RAD53	YPL153C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BOI1	YBL085W	CDC14	YFR028C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BOI1	YBL085W	CLB3	YDL155W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BOI1	YBL085W	FMP48	YGR052W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BOI1	YBL085W	KIN2	YLR096W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BOI1	YBL085W	SSN8	YNL025C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BOI1	YBL085W	CDC14	YFR028C	Affinity Capture-Western	manually curated	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BOI2	YER114C	BMH1	YER177W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BOP3	YNL042W	SKS1	YPL026C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUB1	YGR188C	BUB3	YOR026W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUB1	YGR188C	IST1	YNL265C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUD14	YAR014C	BCK2	YER167W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUD14	YAR014C	GLC7	YER133W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUD14	YAR014C	KIN1	YDR122W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUD14	YAR014C	KIN2	YLR096W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUD14	YAR014C	SWE1	YJL187C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUD3	YCL014W	CDC10	YCR002C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUD3	YCL014W	RAD53	YPL153C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUD32	YGR262C	CGI121	YML036W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUD4	YJR092W	RAD53	YPL153C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUL1	YMR275C	NPR1	YNL183C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUL2	YML111W	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUL2	YML111W	MRM1	YOR201C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUL2	YML111W	NOP4	YPL043W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUL2	YML111W	RRP5	YMR229C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
BUR2	YLR226W	SGV1	YPR161C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
CAB3	YKL088W	PPZ1	YML016C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
CAB3	YKL088W	PPZ2	YDR436W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
CAK1	YFL029C	TWF1	YGR080W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
CBF2	YGR140W	IPL1	YPL209C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
CBF5	YLR175W	HRK1	YOR267C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
CBK1	YNL161W	CDC33	YOL139C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Breitkreutz A, et al. (2010) PMID:20489023	
